"metric","metric_role","fixed_K","year_pair","distance"
"frobenius","primary",8,"2023-2024",56.0533571404491
"cut","primary",8,"2006-2007",3.37096988056226
"cut","primary",8,"2007-2008",1.32289337987063
"cut","primary",8,"2008-2009",3.25564232841732
"cut","primary",8,"2009-2010",4.27898947950831
"cut","primary",8,"2010-2011",1.5703322673686
"cut","primary",8,"2011-2012",4.83521615146103
"cut","primary",8,"2012-2013",4.23448501171381
"cut","primary",8,"2013-2014",3.05370491616912
"cut","primary",8,"2014-2015",1.13219270017019
"cut","primary",8,"2015-2016",1.22136658789828
"cut","primary",8,"2016-2017",2.13923468058149
"cut","primary",8,"2017-2018",3.39700680158984
"cut","primary",8,"2018-2019",2.92758712030003
"cut","primary",8,"2019-2020",3.70201154473837
"cut","primary",8,"2020-2021",2.71736327030962
"cut","primary",8,"2021-2022",2.16489327529431
"cut","primary",8,"2022-2023",5.54992176461825
"cut","primary",8,"2023-2024",2.06698748484845
"wasserstein","secondary",8,"2006-2007",3.63558744670194
"wasserstein","secondary",8,"2007-2008",1.41440874649698
"wasserstein","secondary",8,"2008-2009",3.72068825925873
"wasserstein","secondary",8,"2009-2010",4.35546768026028
"wasserstein","secondary",8,"2010-2011",1.90448520223058
"wasserstein","secondary",8,"2011-2012",4.19860097890073
"wasserstein","secondary",8,"2012-2013",4.40496490087883
"wasserstein","secondary",8,"2013-2014",3.4472722423462
"wasserstein","secondary",8,"2014-2015",1.10983991922515
"wasserstein","secondary",8,"2015-2016",1.6354437711306
"wasserstein","secondary",8,"2016-2017",2.40211312066716
"wasserstein","secondary",8,"2017-2018",3.0675668831259
"wasserstein","secondary",8,"2018-2019",3.06048798676573
"wasserstein","secondary",8,"2019-2020",2.95532225374919
"wasserstein","secondary",8,"2020-2021",2.59126959009493
"wasserstein","secondary",8,"2021-2022",2.59024889798115
"wasserstein","secondary",8,"2022-2023",4.78177256655092
